,Date,Peak Generation,Daily Energy Generation,Lowest Energy Generation,Daily Energy Sent,6:00 Generation,Highest System Frequency,Lowest System Frequency,Highest Voltage Recorded,Lowest Voltage Recorded
594,2022-07-23,3940.7,89660.57,3595.2,88381.63,3805.3,50.72,49.046,356.0,300.0
595,2022-05-15,3694.2,84847.4,3346.5,83742.69,3502.8,51.008,49.05,357.0,300.0
596,2023-05-15,4454.86,74969.14,1555.0,73763.11,4381.9,51.75,49.172,376.0,300.0
597,2023-07-23,3753.3,82023.49,3213.98,81036.26,3531.3,50.785,48.7,353.0,300.0
598,2021-10-12,5066.59,101369.14,3533.9,99810.07,4507.1,50.947,49.357,394.0,294.0
599,2023-10-31,4833.34,101100.17,3322.6,99665.0,4802.7,50.751,49.02,352.0,298.0
600,2023-09-25,4712.62,100107.75,3473.3,98934.7,4632.6,51.002,49.53,353.0,300.0
601,2022-04-08,4093.7,72165.24,10.0,71086.1,461.8,53.25,48.13,355.0,300.0
602,2022-12-31,4747.0,106635.14,4035.9,105382.6,4318.3,50.62,49.39,354.0,300.0
603,2021-12-20,4503.9,98918.45,3681.0,97458.69,4416.2,51.026,49.016,352.0,298.0
604,2022-09-06,4667.9,105295.68,3667.5,103996.73,4281.8,50.713,49.562,349.0,300.0
605,2022-03-11,3851.3,85964.95,3386.8,84670.06,3363.4,50.464,49.041,364.0,300.0
606,2023-04-27,4333.2,94920.36,3068.8,93660.3,4166.6,51.093,49.09,353.0,300.0
607,2022-01-19,4766.2,99807.17,3719.3,98335.64,4489.0,50.53,49.041,355.0,296.0
608,2023-08-17,4078.0,94372.64,3611.3,93276.86,4040.7,50.485,49.024,352.0,300.0
609,2022-07-04,3459.19,79746.81,3197.7,78744.85,3399.1,50.351,49.019,360.0,300.0
610,2022-07-10,3908.8,88718.95,3244.4,87487.83,3851.31,51.2,49.024,355.0,300.0
611,2023-02-18,4843.4,108020.93,4226.1,106612.03,4860.0,50.74,49.0,355.0,300.0
612,2022-05-22,3751.1,85209.68,3359.9,84045.52,3943.2,50.491,48.99,357.0,300.0
613,2022-03-05,4402.9,99237.89,3781.8,97853.8,3949.4,50.837,49.0,361.0,300.0
614,2022-09-12,4564.4,93336.38,2899.1,92141.88,4250.3,51.34,49.5,358.0,300.0
