Date,Branch,Location,Feeder,Category,Fault,Areas Affected
13/03/2022,Akowonjo,GOWON-ESTATE,,Transformer,FAULTY 11-ALIMOSHOINJ-T6-ORELOPE-SAWMILL(PAKO) XLPE CABLES,11-ALIMOSHOINJ-T6-ORELOPE-SAWMILL(PAKO)
13/03/2022,Abule Egba,Fagba,11 KV,Transformer,FAULT ON 11-AGEGEINJ-T1-OKO OBA 11KV FEEDER,11-AGEGEINJ-T1-OKO OBA 11KV FEEDER
13/03/2022,Akowonjo,Orile-Agege,33 KV,Feeder,EMERGENCY OUTAGE ON AGEGE 33KV,AGEGEINJ-T1-OKO OBA
14/03/2022,Akowonjo,Orile-Agege,Not Specified,Transformer (N/S),PROLONGED OUTAGE ON TABON TABON AND PEN CINEMA,"AGEGE PEN CINEMA, TABON TABON"
14/03/2022,Akowonjo,Orile-Agege,Not Specified,Feeder,OYEMEKUN FEEDER CNN,OYEMEKUN FEEDER CNN
14/03/2022,Abule Egba,Ijaiye,33 KV,Feeder,PLANNED OUTAGE REQUEST ON AMJE 33KV FEEDER,"AIT RD,IJAIYE, ALAKUKO WEST, YUSUFF,ABULE IROKO, AKERA, AMJE,KOLINGTON AND ENVIRONS"
14/03/2022,Akowonjo,Ipaja,Not Specified,Transformer,OUTAGE ON POPOOLA 500KVA,POPOOLA
14/03/2022,Abule Egba,Adiyan,Not Specified,DT,FAULT AFFECTING CUSTOMERS ON EMILOJU 500KVA DT,EMILOJU
14/03/2022,Abule Egba,Ijaiye,Not Specified,TCN,OUTAGE ALERT DUE TO THE NATIONAL POWER GRID SYSTEM COLLAPSE,IJAIYE
16/03/2022,Abule Egba,Akute,33 KV,Feeder,PLANNED OUTAGE REQUEST ON LAMBE 33KV FEEDER,LAMBE
16/03/2022,Shomolu,Ilupeju,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ILUPEJU 33KV FEEDER,Ilupeju
16/03/2022,Abule Egba,Akute,33 KV,Feeder,PLANNED OUTAGE REQUEST ON LAMBE 33KV FEEDER,LAMBE
17/03/2022,Akowonjo,Egbeda,Not Specified,TCN,SYSTEM COLLAPSE,CNN TO EGBEDA UT CUSTOMERS
17/03/2022,Akowonjo,Abule,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ABULE TAYLOR 33KV FEEDER,"UTURN ROAD, ABULE EGBA ROAD, KATANJUWA MARKET, MEIRAN ROOAD, ILEKE ESTATE"
17/03/2022,Akowonjo,GOWON-ESTATE,Not Specified,Notification,CUSTOMERS NOTIFICATION ON POOR POWER SUPPLY,GOWON-ESTATE
17/03/2022,Akowonjo,GOWON-ESTATE,Not Specified,Notification,CUSTOMERS NOTIFICATION ON POOR POWER SUPPLY,GOWON-ESTATE
18/03/2022,Abule Egba,Iju,33 KV,Feeder,PLANNED OUTAGE REQUEST ON IJU WATER WORKS 33KV FEEDER,"OBAWOLE, ISHAGA, IJU ROAD & ENVIRON"
18/03/2022,Akowonjo,GOWON-ESTATE,33 KV,Feeder,OUTAGE REQUEST ON ABESAN 33KV FEEDER,"BARUWA, IPAJA RD, COMMAND RD, ABORU, ABESAN, SHAGARI EST AND ENVIRON"
18/03/2022,Akowonjo,Orile-Agege,33 KV,Feeder,PLANNED OUTAGE REQUEST TOWER IPAJA 33KV FEEDER,"NYSC, ARIGBANLA AND OYEWOLE ABORU, IYANA-IPAJA, OYEWOLE, AGEGE, DOPEMU, ADARANIJO, ARIGBANLA, NYSC CAMP"
19/03/2022,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-IJUINJ-T2-ISHAGA-MOKIN DT,11-IJUINJ-T2-ISHAGA-MOKIN DT
19/03/2022,Abule Egba,Iju,Not Specified,DT,OUTAGE ON 11-IJUINJ-T2-ISHAGA-MOKIN DT,11-IJUINJ-T2-ISHAGA-MOKIN DT
22/03/2022,Shomolu,Igbobi,33 KV,Feeder,PLANNED OUTAGE REQUEST ON ILUPEJU IGBOBI 33KV FEEDER,"SHOMOLU, IKORODU ROAD, ILUPEJU AND OLATEJU AREA"
22/03/2022,Abule Egba,Ijaiye,11 KV,Feeder,OUTAGE AFFECTING YUSUF 11KV FEEDER,YUSUF 11KV FEEDER
24/03/2022,Abule Egba,Iju,Not Specified,HVDS,OUTAGE ON 11-OBAWOLEINJ-T1-YOUDEOWEI-1 LIJOKA STR HVDS,11-OBAWOLEINJ-T1-YOUDEOWEI-1 LIJOKA STR HVDS
25/03/2022,Abule Egba,Ijaiye,Not Specified,Transformer (N/S),OUTAGE ALERT ON 33-OTATCN-AMJE-FAGBEMI,33-OTATCN-AMJE-FAGBEMI
25/03/2022,Abule Egba,Ijaiye,Not Specified,Transformer (N/S),OUTAGE ALERT ON 33-OTATCN-AMJE-FAGBEMI,33-OTATCN-AMJE-FAGBEMI
25/03/2022,Abule Egba,Fagba,Not Specified,HVDS,11-BECKLEYINJ-T1-AGBE ROAD-ILE OGBO HVDS 10,ILE OGBO
25/03/2022,Abule Egba,Fagba,Not Specified,HVDS,11-BECKLEYINJ-T1-BECKLEY-ADEWUNMI ADU HVDS 2,ADEWUNMI ADU HVDS 2
26/03/2022,Akowonjo,Ayobo,33 KV,Feeder,PLANNED OUTAGE REQUEST ON AYOBO 33KV FEEDER,"ABESAN, AIYETORO"
27/03/2022,Akowonjo,Egbeda,33 KV,Feeder,PLANNED OUTAGE REQUEST ON SHASHA 33KV FEEDER,SHASHA
28/03/2022,Akowonjo,Ipaja,Not Specified,Transformer (N/S),OUTAGE ON FATOLU 500KVA,FATOLU
28/03/2022,Akowonjo,GOWON-ESTATE,Not Specified,DT,FAULTY ON FHA-2T4 DT,FHA-2T4 DT
29/03/2022,Abule Egba,iJAIye,Not Specified,Transformer (N/S),OUTAGE ALERT ON 11-YUSUFINJ-T2-AKERA-OWONIKOKO 1,11-YUSUFINJ-T2-AKERA-OWONIKOKO 1
30/03/2022,Akowonjo,ORIle-Agege,11 KV,Feeder,PROLONGED OUTAGE ON TABON TABON AND PEN CINEMA 11KV FEEDERS,"AGEGE PEN CINEMA, TABON TABON"
30/03/2022,Abule Egba,Akute,Not Specified,Feeder,OUTAGE ON ASORE FEEDER,ASORE
30/03/2022,Shomolu,Oworo,33 KV,Feeder,PLANNED OUTAGE REQUEST ON IGBOBI 33KV FEEDER,IGBOBI
30/03/2022,Shomolu,Ogudu,Not Specified,Transformer (N/S),NO SUPPLY ON 11-OGUDUINJ-T1-CAC-LSDPC 3,11-OGUDUINJ-T1-CAC-LSDPC 3
31/03/2022,Abule Egba,Adiyan,Not Specified,Transformer (N/S),OUTAGE ON IJOKO 500KVA,IJOKO
03/04/2022,Shomolu,Igbobi,Not Specified,DT,FAULT ON 11-IGBOBIINJ-T3-MUSHIN-COLE DT,11-IGBOBIINJ-T3-MUSHIN-COLE DT
